_id,username,name,followers_count,friends_count,favourites_count,statuses_count,after_name,gender,gender_accuracy
5ec97dad45aa29c1ab606e19,KrunoCrazy,Kruno Crazy,1942,2084,83639,87789,kruno,male,100
5ec97dad45aa29c1ab606e1a,brummyOT,Claire Terrington,242,696,1608,414,claire,female,98
5ec97dae45aa29c1ab606e1b,tobicious_abhay,@cristiano Ronaldo fan 🌼,3560,2931,49034,14007,cristiano,male,99
5ec97daf45aa29c1ab606e1c,MKamediya,पतंजलि युवा भारत बाङमेर,82,299,1639,606
5ec97db045aa29c1ab606e1d,Macaodah1,ImNotSoSimp,87,274,1469,1944
5ec97db045aa29c1ab606e1e,RichmondTram,#WhoIsCelia,2061,1723,20527,19681
5ec97db145aa29c1ab606e1f,KBloor,Karen Bloor,1956,918,1500,4503,karen,female,96
5ec97db245aa29c1ab606e20,TubaElver,Tuba elver,945,1482,16633,100216,tuba,female,97
5ec97db245aa29c1ab606e21,samy45,samy45,1016,4998,30777,352939,samy,male,88
5ec97db345aa29c1ab606e22,dromedarshop,DromedarShop.com,21,100,18,24772,com,male,79
5ec97db445aa29c1ab606e23,ben_tby,Ben Tby,268,949,3042,1236,ben,male,97
5ec97db545aa29c1ab606e24,Terai15679,Jeff graves,47,2334,1768,4425,terai,male,73
5ec97db545aa29c1ab606e25,MasterKGE,Master Kai,506,1808,44299,45942,master,male,100
5ec97db645aa29c1ab606e26,HaziqBotakBonch,-,525,348,7878,54380
5ec97db745aa29c1ab606e27,DWSnyder17,David Snyder,65,436,1415,1160,david,male,99
5ec97db845aa29c1ab606e28,Faraz44040288,Faraz,2,3,4,109,faraz,male,98
5ec97db845aa29c1ab606e29,spyonmetoo,A. R. K.,110,61,7431,16862
5ec97db945aa29c1ab606e2a,GrafFigure,GRAF Figure Skates,400,83,221,530,graf,male,91
5ec97dba45aa29c1ab606e2b,Jacobtloose,Jacob Loose,137,498,3239,634,jacob,male,99
5ec97dbb45aa29c1ab606e2c,HealthyFare4Kid,Healthy Fare 4 Kids,233,358,135,353,kid,male,90
5ec97dbc45aa29c1ab606e2d,nupursaklecha,nupur saklecha,10,85,12,40,nupur,female,94
5ec97dbc45aa29c1ab606e2e,adefunmiloye,funmo,1044,2420,337,13270,adefunmiloye,male,75
5ec97dbd45aa29c1ab606e2f,GURLALpb03,GURLAL💥,48,110,49,9958,gurlal,male,97
5ec97dbe45aa29c1ab606e30,SuttonMHF,SMHF,414,322,170,898
5ec97dbe45aa29c1ab606e31,moof52,John Helton,87,216,13181,8695,moof,male,90
5ec97dbf45aa29c1ab606e32,bushybusra,Bushy,34,66,1062,612,bushy,male,69
5ec97dc045aa29c1ab606e33,NavigatorCU,Navigator CU,981,257,119,1802,navigator,male,99
5ec97dc045aa29c1ab606e34,kobi2real,Kobi,349,725,3985,7113,kobi,male,90
5ec97dc145aa29c1ab606e35,RNani134,ROHIT Vinod,178,235,7110,15216,rohit,male,100
5ec97dc245aa29c1ab606e36,CinemaRooms,Cinema Rooms Ltd,1930,2329,6720,3704,cinema,male,73
5ec97dc245aa29c1ab606e37,WeedMates2You,Peyote Cult,116,297,505,777,peyote,male,73
5ec97dc345aa29c1ab606e38,JustinKernoghan,Justin Kernoghan,1772,1314,2540,2554,justin,male,98
5ec97dc445aa29c1ab606e39,MartinaRosemann,𝙈𝙖𝙧𝙩𝙞𝙣𝙖 𝙍𝙤𝙨𝙚𝙢𝙖𝙣𝙣 🌹😎🇩🇪,10852,11936,243529,182396
5ec97dc445aa29c1ab606e3a,SharonNever,Sharon Clark,127,151,11387,3319,sharon,female,96
5ec97dc545aa29c1ab606e3b,MarthaPerezBook,Martha Perez,15284,13600,33675,142917,martha,female,97
5ec97dc645aa29c1ab606e3c,pausedbycovid,paused,23,18,0,40,paused,male,100
5ec97dc645aa29c1ab606e3d,Artur97723385,Artur,0,20,6,13,artur,male,99
5ec97dc745aa29c1ab606e3e,Petrolheadsarah,Sarah Rigby,1667,1658,48859,145667,sarah,female,98
5ec97dc845aa29c1ab606e3f,iam_deson,Shugar Daday!,1218,1090,5270,3650,shugar,female,52
5ec97dc845aa29c1ab606e40,AbleLikes,🌸Likes🌸,29660,19073,203310,164046
5ec97dca45aa29c1ab606e41,MartinaRosemann,𝙈𝙖𝙧𝙩𝙞𝙣𝙖 𝙍𝙤𝙨𝙚𝙢𝙖𝙣𝙣 🌹😎🇩🇪,10852,11936,243529,182396
5ec97dcb45aa29c1ab606e42,chrisnorris,Christo (au),358,3133,16190,14055,christo,male,98
5ec97dcb45aa29c1ab606e43,IGNIA_Fund,IGNIA,5246,479,438,1561
5ec97dcc45aa29c1ab606e44,kazekenny,kaze kennedy 🇷🇼,776,865,2698,3979,kaze,male,82
5ec97dcd45aa29c1ab606e45,DuncanWatson,Duncan Watson,757,1447,49788,35038,uncan,male,99
5ec97dce45aa29c1ab606e46,makewordsbot,Scrabble Practice,621,0,0,53881,scrabble,male,86
5ec97dce45aa29c1ab606e47,GermanDCForum,German DC Forum,671,4,25392,20263,german,male,100
5ec97dcf45aa29c1ab606e48,TheDemolaExpoze,Demola Expoze,67490,37697,42,108114,demola,male,98
5ec97dd045aa29c1ab606e49,VMan925,Frank V,80,261,20934,20654,vman,male,100
5ec97dd145aa29c1ab606e4a,andrew_hormiz,Andrew Hormiz,531,605,12586,279695,andrew,male,99
5ec97dd145aa29c1ab606e4b,BSACCRP,Bedford to St Albans City CRP,99,27,148,212,bedford,male,84
5ec97dd245aa29c1ab606e4c,thecricketmen,TheCricketMen,439,381,744,2591
5ec97dd345aa29c1ab606e4d,AERGFAMILY,AERG,15536,232,2987,6205,aerg,male,69
5ec97dd345aa29c1ab606e4e,Gindy,Gindy,3017,2837,208473,100437,gindy,male,52
5ec97dd445aa29c1ab606e4f,shineforeuer,tek. lock,86,136,50,1354,tek,male,88
5ec97dd545aa29c1ab606e50,detepoherty,diamanton,141,500,1142,3792
5ec97dd545aa29c1ab606e51,MillzNina,NinaMillz,131,165,480,394
5ec97dd645aa29c1ab606e52,Brian_Whit,Brian Whitaker,44617,1202,95,36536,brian,male,99
5ec97dd745aa29c1ab606e53,Ballout30,KelvinAdj,1778,1671,25279,35409,ballout,male,63
5ec97dd845aa29c1ab606e54,Fan57Nathan,Heike Ritschel,316,284,52579,48229,heike,female,98
5ec97dd945aa29c1ab606e55,U2_News,U2News,16656,128,1722,26018
5ec97dd945aa29c1ab606e56,nickg0804,Nick,569,699,2994,1743,nickg,male,100
5ec97dda45aa29c1ab606e57,carloverteam,Carlover,23,0,6,347,carlover,male,75
5ec97dda45aa29c1ab606e58,adekleine,angie de kleine 🇳🇱🇪🇺🇩🇪🇺🇸🇨🇦🗽,883,875,41162,420851,angie,female,98
5ec97ddb45aa29c1ab606e59,dahomey_dockery,Fresh Vandicooch,61,29,4886,1424
5ec97ddc45aa29c1ab606e5a,RedPillDetox,🌈ЯΞÐPłŁŁÐΞtФЖ🌊,5174,4616,283,79413
5ec97dde45aa29c1ab606e5b,VandanaGyan,Vandana Gyanchandani,34,1074,773,736,vandana,female,98
5ec97dde45aa29c1ab606e5c,GaryAllan,GaryAllan,360237,447,2691,3863
