len_word,len_emoji,len_hastag,extrointro,followers_count,friends_count,favourites_count,statuses_count
16,0,7,0,31,67,200,106
5,0,1,0,31,67,200,106
13,0,3,0,0,0,0,1
1,0,4,0,1662,308,660,26172
1,0,4,0,1662,308,660,26172
1,0,4,1,1662,308,660,26172
1,0,4,1,1662,308,660,26172
1,0,4,0,1662,308,660,26172
1,0,4,0,1662,308,660,26172
1,0,4,1,1662,308,660,26172
1,0,4,1,1662,308,660,26172
1,0,5,0,1662,308,660,26172
1,0,5,0,1662,308,660,26172
1,0,5,1,1662,308,660,26172
1,0,5,1,1662,308,660,26172
2,0,4,0,1662,308,660,26172
2,0,4,0,1662,308,660,26172
2,0,4,1,1662,308,660,26172
2,0,4,1,1662,308,660,26172
0,0,4,0,1662,308,660,26172
0,0,4,0,1662,308,660,26172
0,0,4,1,1662,308,660,26172
0,0,4,1,1662,308,660,26172
3,0,4,0,1662,308,660,26172
3,0,4,0,1662,308,660,26172
3,0,4,1,1662,308,660,26172
3,0,4,1,1662,308,660,26172
1,0,4,0,1662,308,660,26172
1,0,4,0,1662,308,660,26172
1,0,4,1,1662,308,660,26172
1,0,4,1,1662,308,660,26172
1,0,4,0,1662,308,660,26172
1,0,4,0,1662,308,660,26172
1,0,4,1,1662,308,660,26172
1,0,4,1,1662,308,660,26172
0,0,4,0,1662,308,660,26172
0,0,4,0,1662,308,660,26172
0,0,4,1,1662,308,660,26172
0,0,4,1,1662,308,660,26172
2,0,4,0,1662,308,660,26172
2,0,4,0,1662,308,660,26172
2,0,4,1,1662,308,660,26172
2,0,4,1,1662,308,660,26172
1,0,4,0,1662,308,660,26172
1,0,4,0,1662,308,660,26172
1,0,4,1,1662,308,660,26172
1,0,4,1,1662,308,660,26172
1,0,4,0,1662,308,660,26172
1,0,4,0,1662,308,660,26172
1,0,4,1,1662,308,660,26172
1,0,4,1,1662,308,660,26172
1,0,5,0,1662,308,660,26172
1,0,5,0,1662,308,660,26172
1,0,5,1,1662,308,660,26172
1,0,5,1,1662,308,660,26172
2,0,4,0,1662,308,660,26172
2,0,4,0,1662,308,660,26172
2,0,4,1,1662,308,660,26172
2,0,4,1,1662,308,660,26172
0,0,4,0,1662,308,660,26172
