len_emotion,len_word,len_emoji,len_hastag,extrointro
7,12,0,0,1
6,16,0,0,1
4,16,5,0,1
3,5,0,0,1
4,7,0,0,1
2,9,0,0,1
0,3,0,0,1
0,5,5,0,1
1,8,0,0,1
6,22,0,0,1
1,3,5,1,0
3,19,0,0,0
7,21,0,0,0
1,2,7,0,0
3,17,0,0,0
3,22,0,1,0
0,4,0,0,0
2,9,0,0,0
4,16,0,0,0
0,4,2,0,0
1,8,0,1,0
1,6,7,0,0
0,8,0,0,0
0,9,0,0,0
0,6,0,0,0
1,21,3,0,0
1,14,0,0,0
1,4,0,0,0
2,9,4,0,1
2,7,0,0,1
2,10,0,0,1
1,7,0,0,1
2,6,0,0,1
0,1,2,0,1
4,26,0,0,1
1,4,7,1,1
0,1,4,0,1
0,1,2,0,1
2,10,0,0,1
5,16,3,4,1
2,18,0,3,1
3,15,0,0,1
2,13,0,3,1
1,10,0,2,1
1,11,0,0,1
1,6,0,0,1
7,21,0,0,1
1,3,0,0,1
6,21,0,3,1
5,12,0,4,1
3,9,0,6,1
2,11,0,4,1
5,12,0,6,1
1,5,0,7,1
4,11,0,8,1
1,5,0,0,1
5,9,0,0,1
8,22,0,1,1
3,13,0,0,0
4,13,2,0,0
1,4,4,0,0
0,2,2,0,0
0,2,2,0,0
0,3,0,0,0
3,4,6,1,0
7,13,0,3,0
0,2,0,0,0
4,12,0,1,1
1,1,2,0,1
5,11,0,0,1
6,24,0,1,1
7,13,1,1,1
1,7,0,0,1
4,9,0,0,1
1,23,0,0,1
0,1,0,0,1
1,6,0,0,1
3,13,0,1,1
2,8,0,1,1
1,4,1,0,1
5,15,0,3,1
5,15,0,2,1
4,14,0,3,1
3,12,0,1,1
3,15,0,3,1
3,12,0,0,1
2,15,0,1,1
4,14,2,0,1
0,21,1,0,1
3,9,1,1,1
2,19,2,0,1
3,10,0,0,1
2,8,0,1,1
0,4,0,0,1
0,5,0,0,1
1,3,0,0,1
7,23,0,0,1
5,14,1,0,1
2,10,0,1,1
0,5,0,0,1
6,16,4,1,1
3,5,0,0,1
4,13,0,0,1
3,13,0,0,1
2,5,0,0,1
9,17,0,0,1
14,31,0,0,0
7,16,0,0,0
3,10,0,0,0
1,1,0,0,0
3,18,0,0,0
1,5,0,0,0
0,1,0,0,0
0,1,0,1,0
5,21,0,0,0
5,22,0,0,0
5,18,2,0,0
4,24,0,0,0
2,8,0,0,0
0,4,2,1,0
0,1,0,0,0
1,3,4,0,0
4,20,0,0,0
9,29,0,0,0
2,6,0,0,0
8,18,0,13,1
3,6,0,13,1
2,6,0,13,1
0,4,0,17,1
1,4,0,15,1
1,4,0,15,1
2,4,0,17,1
4,9,0,15,1
3,6,0,15,1
3,12,0,2,1
3,11,3,1,1
0,3,1,1,1
1,4,7,3,1
1,8,0,0,1
2,15,3,1,1
3,20,4,0,1
2,22,1,1,1
8,21,0,0,1
4,19,2,0,1
4,4,0,0,0
1,1,0,0,0
0,4,0,0,0
0,3,5,0,0
0,8,0,0,0
1,6,0,0,0
3,6,0,0,0
4,8,0,0,0
0,2,2,0,0
5,23,0,0,1
3,10,0,0,1
4,15,4,0,1
2,13,0,0,1
5,8,0,5,1
2,3,0,0,1
4,16,0,0,1
1,3,4,0,1
4,13,0,0,1
1,3,0,3,1
2,10,0,11,1
2,10,0,12,1
4,15,0,4,1
2,5,0,11,1
2,6,0,9,1
0,3,0,11,1
4,11,0,9,1
0,3,0,9,1
2,17,0,2,1
1,8,2,0,1
5,16,2,3,1
0,6,9,1,1
1,1,9,2,1
5,19,7,3,1
3,10,0,11,1
1,11,0,4,1
4,19,2,3,1
6,17,0,5,1
4,7,0,3,1
5,21,8,3,1
0,4,0,0,0
7,15,4,3,0
4,13,2,0,0
4,13,2,0,0
3,6,5,0,0
5,8,2,0,0
1,5,5,0,0
4,16,5,0,0
1,4,1,0,0
3,23,4,1,0
2,7,0,0,1
2,7,0,0,1
3,10,0,2,1
3,10,0,2,1
2,7,0,2,1
2,7,0,2,1
