_id,username,word,emoji,hastag,len_word,len_emoji,len_hastag,len_emotion
5ed04aca682cbc70de4c527f,Mick__geek,"stephen, superb, phd, researcher, fantastic, research",0,['#compchem'],6,0,1,1
5ed04aca682cbc70de4c5280,Mick__geek,"accept, application, post hoc, join, group, application, due, tuesday, june, learn",0,"['#CompMatSci', '#MaterialsScience']",10,0,2,2
5ed04aca682cbc70de4c5281,Mick__geek,"get, text, hedge, fund, manager",0,0,5,0,0,0
5ed04aca682cbc70de4c5282,Mick__geek,"self, preservation",0,0,2,0,0,0
5ed04aca682cbc70de4c5283,Mick__geek,"depression, way, make, people, emily, closest, feel, furthest, away, sometimes, kind, withdrawal, call, emotional, blunting, call",0,"['#RethinkDepression', '#Brainhealth']",16,0,2,3
5ed04aca682cbc70de4c5284,Mick__geek,"crap, lab, ban, fear, would, cause, accident, turn, turn, vast, crank, enough, job",0,0,13,0,0,5
5ed04acc682cbc70de4c5286,Buzzfm897,darling,0,"['#NP', '#BuzzDrive', '#ThrowbackThursday', '#BuzzEveningCruise']",1,0,4,1
5ed04acc682cbc70de4c5287,Buzzfm897,holiday,0,"['#NP', '#BuzzDrive', '#ThrowbackThursday', '#BuzzEveningCruise']",1,0,4,1
5ed04acc682cbc70de4c5288,Buzzfm897,olufunmi,0,"['#NP', '#StylePlus', '#BuzzDrive', '#ThrowbackThursday', '#BuzzEveningCruise']",1,0,5,0
5ed04acc682cbc70de4c5289,Buzzfm897,"casebook, love",0,"['#NP', '#BuzzDrive', '#ThrowbackThursday', '#BuzzEveningCruise']",2,0,4,1
5ed04acc682cbc70de4c528b,Buzzfm897,"thou, thou, thou",0,"['#NP', '#BuzzDrive', '#ThrowbackThursday', '#BuzzEveningCruise']",3,0,4,0
5ed04acc682cbc70de4c528c,Buzzfm897,carolina,0,"['#NP', '#BuzzDrive', '#ThrowbackThursday', '#BuzzEveningCruise']",1,0,4,0
5ed04acc682cbc70de4c528d,Buzzfm897,jailer,0,"['#NP', '#BuzzDrive', '#ThrowbackThursday', '#BuzzEveningCruise']",1,0,4,0
5ed04acc682cbc70de4c528f,Buzzfm897,"ada, owers",0,"['#NP', '#BuzzDrive', '#ThrowbackThursday', '#BuzzEveningCruise']",2,0,4,1
5ed04acd682cbc70de4c5291,KrunoCrazy,"vaporesso, target, small, simple, via",0,0,5,0,0,1
5ed04acd682cbc70de4c5292,KrunoCrazy,"check, samsung, gear, best, mobile, headset",0,"['#VR', '#headset']",6,0,2,1
5ed04acd682cbc70de4c5293,KrunoCrazy,"senior, genichiro, ask, bos, fight, watch, forget, like, subscribe",fire,"['#sekiro', '#ninja']",9,1,2,4
5ed04acd682cbc70de4c5294,KrunoCrazy,nasal,0,['#ニュース'],1,0,1,0
5ed04acd682cbc70de4c5295,KrunoCrazy,"study, use, alternative, nicotine, product, alongside, smoke, associate, high, probability, become, smoker",0,0,12,0,0,3
5ed04acd682cbc70de4c5296,KrunoCrazy,"saw, amazon, sega, genesis, mini, genesis, sega",0,"['#sega', '#retro']",7,0,2,0
5ed04acd682cbc70de4c5297,KrunoCrazy,"extra, manifesto, europe, wide, consumer, organisation, launch, manifesto, behalf, million, former, smoker",0,"['#SayYesToTHR', '#WorldVapeDay', '#WTHRD', '#WNTD2020']",12,0,4,1
5ed04acd682cbc70de4c5299,KrunoCrazy,"love, look, swan, mother, look, man",0,0,6,0,0,2
5ed04acd682cbc70de4c529a,KrunoCrazy,"new, vaporesso, revenge, kit, nra, tank",0,0,6,0,0,1
5ed04acf682cbc70de4c529c,brummyOT,"thoroughly, enjoy, day, yes, one, pink, chair, wait, paint","tears, joy, with, of, face",['#OccupationalTherapy'],9,5,1,2
5ed04acf682cbc70de4c529d,brummyOT,"community, mental, health, patient, people, love, receive, well",0,0,8,0,0,4
5ed04acf682cbc70de4c529e,brummyOT,"decided, practice, preach, weekend, engage, little, horticulture, therapy, love, benefit, fresh, air",0,"['#OccupationalTherapy', '#mentalhealth']",12,0,2,2
5ed04acf682cbc70de4c529f,brummyOT,"well, say, really, exhaust, use, team, everyday, want, see, people, flesh, cant, wait, work, office",0,0,15,0,0,3
5ed04acf682cbc70de4c52a0,brummyOT,"another, bag, ready, tomorrow","with, eyes, face, smiling",['#stayathome'],4,4,1,2
5ed04acf682cbc70de4c52a1,brummyOT,"little, assistant, give, sunday, morning, help, pack, bags, service, user, right, thing, difficult, time",0,['#bestdaughter'],14,0,1,6
